"Problèmes Techniques"
Référence;Bloquant;"Date de correction";"Date de signalement";Intervenant;Module(s);Equipement;Description;Solution;"Fichier(s) joint(s)"
87;X;;25/09/2017;"BAZELISAL (Alexandre Bazelis)";129;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 129 (VAP 3T2 16b GN/FOD)";;
88;X;;25/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";552;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 552 (DETENDEUR VAPEUR DN80)";;
89;X;;25/09/2017;"0_TECHNICIENS (Groupe Techniciens)";552;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 552 (DETENDEUR VAPEUR DN80)";;
90;X;;25/09/2017;"BAZELISAL (Alexandre Bazelis)";552;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 552 (DETENDEUR VAPEUR DN80)";;
66;X;;20/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";600;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 600 (BALLON DETENTE PURGES SPE ES)";;
67;X;20/09/2017;20/09/2017;"DESURMONTJU (Julien Desurmont)";600;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 600 (BALLON DETENTE PURGES SPE ES)";ras;
68;X;;20/09/2017;"BAZELISAL (Alexandre Bazelis)";600;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 600 (BALLON DETENTE PURGES SPE ES)";;
69;X;;20/09/2017;"0_TECHNICIENS (Groupe Techniciens)";115;"BRULEUR
";"Pompe fuel fuyarde par l'arbre. Pompe HS.";"Remplacement de la pompe (pompe pas encore commandée).";
70;X;;20/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";117;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 117 (VAP 3T2 16b GN/FOD)";;
71;X;;20/09/2017;"0_TECHNICIENS (Groupe Techniciens)";117;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 117 (VAP 3T2 16b GN/FOD)";;
72;X;;20/09/2017;"BAZELISAL (Alexandre Bazelis)";117;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 117 (VAP 3T2 16b GN/FOD)";;
57;X;;07/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";105;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 105 (VAP 3T2 16b GN/FOD)";;
58;X;;07/09/2017;"0_TECHNICIENS (Groupe Techniciens)";105;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 105 (VAP 3T2 16b GN/FOD)";;
60;X;;07/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";106;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 106 (VAP 3T2 16b GN/FOD)";;
61;X;;07/09/2017;"0_TECHNICIENS (Groupe Techniciens)";106;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 106 (VAP 3T2 16b GN/FOD)";;
62;X;;07/09/2017;"BAZELISAL (Alexandre Bazelis)";106;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 106 (VAP 3T2 16b GN/FOD)";;
63;X;;07/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";507;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 507 (Cuve FOD 15m3 (r)";;
64;X;;07/09/2017;"0_TECHNICIENS (Groupe Techniciens)";507;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 507 (Cuve FOD 15m3 (r)";;
65;X;;07/09/2017;"BAZELISAL (Alexandre Bazelis)";507;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 507 (Cuve FOD 15m3 (r)";;
56;X;;01/09/2017;"BAZELISAL (Alexandre Bazelis)";152;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 152 (VAP 6T 28b GN/FOD ancien design)";;
12;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";114;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 114 (VAP 1,25T 16B GN/FOD)";;
14;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";101;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 101 (EC 3700 KW GN/FOD)";;
15;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";101;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 101 (EC 3700 KW GN/FOD)";;
16;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";101;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 101 (EC 3700 KW GN/FOD)";;
17;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";121;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 121 (VAP 6T 28b GN/FOD)";;
18;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";121;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 121 (VAP 6T 28b GN/FOD)";;
19;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";121;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 121 (VAP 6T 28b GN/FOD)";;
20;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";102;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 102 (EC 3700 KW GN/FOD)";;
21;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";102;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 102 (EC 3700 KW GN/FOD)";;
22;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";102;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 102 (EC 3700 KW GN/FOD)";;
27;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";104;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 104 (EC 3700 KW GN/FOD)";;
28;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";104;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 104 (EC 3700 KW GN/FOD)";;
29;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";104;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 104 (EC 3700 KW GN/FOD)";;
31;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";107;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 107 (VAP 3T2 16b GN/FOD)";;
32;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";107;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 107 (VAP 3T2 16b GN/FOD)";;
33;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";109;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 109 (VAP 6T 20b GN/FOD)";;
34;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";109;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 109 (VAP 6T 20b GN/FOD)";;
35;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";109;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 109 (VAP 6T 20b GN/FOD)";;
42;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";118;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 118 (VAP 3T2 16b GN/FOD)";;
43;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";118;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 118 (VAP 3T2 16b GN/FOD)";;
44;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";118;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 118 (VAP 3T2 16b GN/FOD)";;
45;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";119;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 119 (VAP 6T 28b GN/FOD)";;
46;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";119;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 119 (VAP 6T 28b GN/FOD)";;
47;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";119;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 119 (VAP 6T 28b GN/FOD)";;
49;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";130;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 130 (VAP 6T 28b GN/FOD)";;
50;X;;31/08/2017;"GUYOTBE (Benjamin Guyot)";130;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 130 (VAP 6T 28b GN/FOD)";;
51;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";141;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 141 (VAP 3T2 16b GN/FOD)";;
52;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";141;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 141 (VAP 3T2 16b GN/FOD)";;
53;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";141;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 141 (VAP 3T2 16b GN/FOD)";;
