"Problèmes Techniques"
Référence;Bloquant;"Date de correction";"Date de signalement";Intervenant;Module(s);Equipement;Description;Solution;"Fichier(s) joint(s)"
21;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";102;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 102 (EC 3700 KW GN/FOD)";;
22;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";102;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 102 (EC 3700 KW GN/FOD)";;
23;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";151;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 151 (VAP 16T 24,5b GN/FOD version SH  + ancien design)";;
24;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";151;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 151 (VAP 16T 24,5b GN/FOD version SH  + ancien design)";;
25;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";151;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 151 (VAP 16T 24,5b GN/FOD version SH  + ancien design)";;
26;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";151;MÉCANIQUE;"suite changement corps de chauffe par un corps pour surchauffeur, la cabine est inadaptée, impossible d'ouvrir le bruleur";"modification de la cabine apres etude de CP";
27;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";104;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 104 (EC 3700 KW GN/FOD)";;
28;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";104;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 104 (EC 3700 KW GN/FOD)";;
29;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";104;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 104 (EC 3700 KW GN/FOD)";;
30;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";107;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 107 (VAP 3T2 16b GN/FOD)";;
31;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";107;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 107 (VAP 3T2 16b GN/FOD)";;
32;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";107;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 107 (VAP 3T2 16b GN/FOD)";;
33;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";109;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 109 (VAP 6T 20b GN/FOD)";;
34;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";109;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 109 (VAP 6T 20b GN/FOD)";;
35;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";109;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 109 (VAP 6T 20b GN/FOD)";;
36;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";115;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 115 (VAP 3T2 16b GN/FOD)";;
39;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";116;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 116 (VAP 3T2 16b GN/FOD)";;
40;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";116;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 116 (VAP 3T2 16b GN/FOD)";;
41;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";116;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 116 (VAP 3T2 16b GN/FOD)";;
42;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";118;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 118 (VAP 3T2 16b GN/FOD)";;
43;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";118;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 118 (VAP 3T2 16b GN/FOD)";;
44;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";118;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 118 (VAP 3T2 16b GN/FOD)";;
45;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";119;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 119 (VAP 6T 28b GN/FOD)";;
46;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";119;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 119 (VAP 6T 28b GN/FOD)";;
47;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";119;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 119 (VAP 6T 28b GN/FOD)";;
49;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";130;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 130 (VAP 6T 28b GN/FOD)";;
50;X;;31/08/2017;"GUYOTBE (Benjamin Guyot)";130;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 130 (VAP 6T 28b GN/FOD)";;
51;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";141;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 141 (VAP 3T2 16b GN/FOD)";;
52;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";141;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 141 (VAP 3T2 16b GN/FOD)";;
53;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";141;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 141 (VAP 3T2 16b GN/FOD)";;
56;X;;01/09/2017;"BAZELISAL (Alexandre Bazelis)";152;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 152 (VAP 6T 28b GN/FOD ancien design)";;
57;X;;07/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";105;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 105 (VAP 3T2 16b GN/FOD)";;
58;X;;07/09/2017;"0_TECHNICIENS (Groupe Techniciens)";105;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 105 (VAP 3T2 16b GN/FOD)";;
60;X;;07/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";106;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 106 (VAP 3T2 16b GN/FOD)";;
61;X;;07/09/2017;"0_TECHNICIENS (Groupe Techniciens)";106;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 106 (VAP 3T2 16b GN/FOD)";;
62;X;;07/09/2017;"BAZELISAL (Alexandre Bazelis)";106;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 106 (VAP 3T2 16b GN/FOD)";;
63;X;;07/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";507;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 507 (Cuve FOD 15m3 (r)";;
64;X;;07/09/2017;"0_TECHNICIENS (Groupe Techniciens)";507;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 507 (Cuve FOD 15m3 (r)";;
65;X;;07/09/2017;"BAZELISAL (Alexandre Bazelis)";507;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 507 (Cuve FOD 15m3 (r)";;
66;X;;20/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";600;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 600 (BALLON DETENTE PURGES SPE ES)";;
67;X;;20/09/2017;"0_TECHNICIENS (Groupe Techniciens)";600;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 600 (BALLON DETENTE PURGES SPE ES)";;
68;X;;20/09/2017;"BAZELISAL (Alexandre Bazelis)";600;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 600 (BALLON DETENTE PURGES SPE ES)";;
69;X;;20/09/2017;"0_TECHNICIENS (Groupe Techniciens)";115;"BRULEUR
";"Pompe fuel fuyarde par l'arbre. Pompe HS.";"Remplacement de la pompe (pompe pas encore commandée).";
